epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,10462.3,1.03858,0.56499,0.01925,0.89147,0.8581,0.92366,0.57748,1.42733,0.79689,0.0411,0.000313729,0.000313729,0.000313729
84,10589.5,1.01705,0.57612,0.01928,0.89056,0.86195,0.92177,0.5754,1.44637,0.76822,0.04167,0.000297226,0.000297226,0.000297226
85,10716,1.01028,0.5686,0.01908,0.89189,0.8497,0.91372,0.56753,1.43203,0.82887,0.04133,0.000280723,0.000280723,0.000280723
86,10843.1,1.0003,0.55114,0.01867,0.8935,0.8474,0.9185,0.57328,1.41113,0.8132,0.04065,0.00026422,0.00026422,0.00026422
87,10969.9,1.02743,0.56876,0.01924,0.8778,0.86166,0.91321,0.57069,1.39298,0.84,0.04011,0.000247716,0.000247716,0.000247716
88,11096,0.9996,0.56126,0.01851,0.87322,0.87272,0.91495,0.56931,1.42572,0.84414,0.04115,0.000231213,0.000231213,0.000231213
89,11222,1.00245,0.55094,0.019,0.88326,0.85657,0.91592,0.56798,1.42472,0.82856,0.04126,0.00021471,0.00021471,0.00021471
90,11348.2,0.99161,0.55827,0.01851,0.87971,0.86392,0.91414,0.56945,1.43333,0.81656,0.04124,0.000198206,0.000198206,0.000198206
91,11510.3,0.94785,0.32091,0.02622,0.87591,0.86579,0.90421,0.5501,1.47892,0.8945,0.04301,0.000181703,0.000181703,0.000181703
92,11636,0.90124,0.28412,0.02491,0.87699,0.86793,0.91485,0.5628,1.45123,0.85207,0.04215,0.0001652,0.0001652,0.0001652
93,11761.5,0.87818,0.27582,0.02408,0.89677,0.84665,0.91496,0.56772,1.4469,0.86142,0.04193,0.000148696,0.000148696,0.000148696
94,11888,0.86404,0.2737,0.02392,0.89211,0.84899,0.91675,0.56915,1.44455,0.88603,0.04168,0.000132193,0.000132193,0.000132193
95,12014.4,0.85953,0.26287,0.02357,0.89221,0.85012,0.9142,0.56541,1.45658,0.86138,0.04209,0.00011569,0.00011569,0.00011569
96,12140.4,0.83913,0.25055,0.02306,0.88764,0.85672,0.91637,0.56856,1.45102,0.87981,0.04194,9.91865e-05,9.91865e-05,9.91865e-05
97,12266.3,0.83714,0.24882,0.02275,0.89291,0.85025,0.91404,0.56749,1.45305,0.86081,0.04201,8.26832e-05,8.26832e-05,8.26832e-05
98,12391.9,0.83886,0.24832,0.02285,0.89552,0.85422,0.91749,0.5753,1.4478,0.85978,0.04178,6.61799e-05,6.61799e-05,6.61799e-05
99,12518.6,0.83173,0.24963,0.02248,0.88494,0.87062,0.91727,0.57398,1.45002,0.86375,0.04187,4.96766e-05,4.96766e-05,4.96766e-05
100,12645.7,0.82301,0.24472,0.0224,0.88483,0.86249,0.91566,0.57306,1.44597,0.8566,0.0417,3.31733e-05,3.31733e-05,3.31733e-05
